control	         treatment
1.244102763	1.455417718
1.010201961	1.437504566
0.716033103	1.423330909
1.279191617	1.661845511
0.900034869	1.049466258
1.077466629	1.096239223
0.989182379	1.416708343
1.219870706	0.977970782
0.993181842	1.108158135
0.7161744	0.826790315
0.821849278	0.970274526
1.261082116	1.308298986
1.304972778	1.324196184
1.138868322	1.153868345
0.850652878	1.186035829
1.089266447	1.164434892
1.210157445	1.238067481
0.792980324	1.49962576
0.716509598	1.289405846
1.245064902	1.180677973
1.026935909	1.327496774
0.757478825	1.005978082
0.510235353	1.252963946
1.668075647	1.061161271
1.142438624	1.054623854
0.737084389	0.960371008
0.749974232	0.870025437
1.056666894	0.883174097
0.871472827	1.212477149
1.165862976	1.05062693
1.049814814	1.269810151
1.101675862	1.07331977
	        1.389589448
	        1.050603322
	        0.867514879
	        1.129946297
	
